hidden_layers,learning_rate,dropout_rate,val_f1,epochs_trained,best_val_loss
"(64, 64)",0.001,0.0,0.7785888077858881,11,0.3729785084724426
"(64, 64)",0.001,0.2,0.7654320987654321,11,0.3823894262313843
"(64, 64)",0.0005,0.0,0.7874396135265701,26,0.37347322702407837
"(64, 64)",0.0005,0.2,0.7932692307692307,24,0.3798341155052185
"(128, 128)",0.001,0.0,0.7892156862745098,11,0.3688561022281647
"(128, 128)",0.001,0.2,0.7772277227722773,11,0.3664498031139374
"(128, 128)",0.0005,0.0,0.7764127764127764,11,0.37515726685523987
"(128, 128)",0.0005,0.2,0.7817745803357314,11,0.38116759061813354
"(128, 64)",0.001,0.0,0.7821782178217822,11,0.3667263090610504
"(128, 64)",0.001,0.2,0.7783251231527094,11,0.3696787655353546
"(128, 64)",0.0005,0.0,0.7799043062200957,11,0.37597572803497314
"(128, 64)",0.0005,0.2,0.7793427230046949,11,0.390540212392807
